,as_id,members,clique_1
0,6939,9443,True
1,24482,8723,True
2,49544,6986,True
3,174,6781,False
4,3356,6657,True
5,199524,6118,True
6,39120,5777,True
7,35280,5185,True
8,271253,5063,True
9,37721,4705,True
10,1239,4612,False
11,137409,4163,True
12,6057,3909,True
13,51185,3751,True
14,64289,3592,True
15,1828,3364,True
16,42473,3179,True
17,25091,3057,True
18,37468,3046,True
19,212483,2996,False
20,23106,2950,True
21,267613,2925,True
22,7195,2810,True
23,6424,2760,True
24,58511,2751,True
25,6461,2702,True
26,41047,2667,True
27,41327,2665,True
28,12741,2619,True
29,61568,2566,True
30,5405,2564,True
31,34224,2562,True
32,39351,2524,True
33,917,2510,True
34,1299,2471,True
35,34927,2455,True
36,13237,2426,True
37,7018,2328,True
38,7713,2317,True
39,4455,2312,True
40,35598,2276,True
41,33891,2231,True
42,34549,2219,True
43,3216,2184,True
44,9002,2174,True
45,37100,2163,True
46,20764,2114,True
47,12779,2113,True
48,60171,2105,True
49,38880,2086,True
